,Importance
Floor Area Sqm,0.740617591078425
Remaining Lease,0.05825788281176305
No. Of Stations Within 500M,0.005128223728532497
Month Sold_1,0.0012624296650813435
Month Sold_10,0.001299970960483064
Month Sold_11,0.0011879942185578764
Month Sold_12,0.0012000654035275002
Month Sold_2,0.001163097332486776
Month Sold_3,0.0012952689218783185
Month Sold_4,0.0011878946597682358
Month Sold_5,0.001149436640108738
Month Sold_6,0.0011351484364627521
Month Sold_7,0.0013493611981104485
Month Sold_8,0.001253168543713437
Month Sold_9,0.0012257576896568577
Town_ANG MO KIO,0.002978276061545199
Town_BEDOK,0.0018886137499597153
Town_BISHAN,0.013942789840180941
Town_BUKIT BATOK,0.0010752654413969831
Town_BUKIT MERAH,0.01518733528107134
Town_BUKIT PANJANG,0.0033696555554475795
Town_BUKIT TIMAH,0.001298523298838682
Town_CENTRAL AREA,0.0019503017783357123
Town_CHOA CHU KANG,0.004722597993629142
Town_CLEMENTI,0.0037794631884037
Town_GEYLANG,0.0022388535906746458
Town_HOUGANG,0.0008892056162312544
Town_JURONG EAST,0.0011627813446489599
Town_JURONG WEST,0.00841302817573974
Town_KALLANG/WHAMPOA,0.0047391461402447625
Town_LIM CHU KANG,1.2409208260575376e-05
Town_MARINE PARADE,0.003335111190434526
Town_PASIR RIS,0.0012588943374549915
Town_PUNGGOL,0.00010271132856816295
Town_QUEENSTOWN,0.008857648577059217
Town_SEMBAWANG,0.0023197103078471137
Town_SENGKANG,0.001739862865244634
Town_SERANGOON,0.001479085883690964
Town_TAMPINES,0.0022715014328666652
Town_TOA PAYOH,0.005952439012867208
Town_WOODLANDS,0.014574284920037133
Town_YISHUN,0.002326586064389093
Flat Type_1 ROOM,1.164461037737617e-05
Flat Type_2 ROOM,4.638112710463686e-05
Flat Type_3 ROOM,0.001197847798121892
Flat Type_4 ROOM,0.0013807878722918603
Flat Type_5 ROOM,0.001221151250802282
Flat Type_EXECUTIVE,0.0004061130423311868
Flat Type_MULTI-GENERATION,1.489385740461319e-05
Flat Model_2 ROOM,1.37942224794775e-06
Flat Model_ADJOINED FLAT,0.003710245163958563
Flat Model_APARTMENT,0.00046588365364406693
Flat Model_DBSS,0.0011535249082510455
Flat Model_IMPROVED,0.004358921637245751
Flat Model_IMPROVED MAISONETTE,3.0736305543261155e-05
Flat Model_MAISONETTE,0.001799756186507246
Flat Model_MODEL A,0.006289498967899813
Flat Model_MODEL A MAISONETTE,7.523434541135664e-05
Flat Model_MODEL A2,3.8499013007884075e-05
Flat Model_MULTI GENERATION,5.114271793840916e-05
Flat Model_NEW GENERATION,0.0007828716674660672
Flat Model_PREMIUM APARTMENT,0.0010472668909061842
Flat Model_PREMIUM APARTMENT LOFT,1.139553063056879e-06
Flat Model_PREMIUM MAISONETTE,6.117381848604861e-05
Flat Model_SIMPLIFIED,0.00031603590579840475
Flat Model_STANDARD,0.006436743213852814
Flat Model_TERRACE,0.0017206047784659635
Flat Model_TYPE S1,0.0014904066738539216
Flat Model_TYPE S2,0.0006279913210474736
Storey Range_01 TO 03,0.0034524834877626455
Storey Range_04 TO 06,0.0019482191746193396
Storey Range_07 TO 09,0.0013506443740836046
Storey Range_10 TO 12,0.001329667933401579
Storey Range_13 TO 15,0.0007989508710163912
Storey Range_16 TO 18,0.0005426588357647071
Storey Range_19 TO 21,0.00044067117863944044
Storey Range_22 TO 24,0.00040557732795316675
Storey Range_25 TO 27,0.00013112090587364308
Storey Range_28 TO 30,6.219008238864837e-05
Storey Range_31 TO 33,5.4798537446714775e-06
Storey Range_34 TO 36,9.941404448833631e-06
Storey Range_37 TO 39,1.5975447901855205e-05
Storey Range_40 TO 42,1.440842329407576e-05
Storey Range_43 TO 45,1.2699672748065897e-06
Storey Range_46 TO 48,2.6421501214632784e-06
Storey Range_49 TO 51,1.2496847394560594e-06
Distance To Nearest Station_101m - 200m,0.0005352541769213429
Distance To Nearest Station_201m - 300m,0.0006497927888766871
Distance To Nearest Station_301m - 400m,0.0006129244941643997
Distance To Nearest Station_401m - 500m,0.0009116939874653223
Distance To Nearest Station_<= 100m,0.00021461281926806467
Distance To Nearest Station_> 500m,0.003226006244430208
Primary Distance Categorised_101m - 200m,0.0012551292596752511
Primary Distance Categorised_201m - 300m,0.001388673434699083
Primary Distance Categorised_301 - 400m,0.0012634613276155645
Primary Distance Categorised_401m - 500m,0.0012519849774322044
Primary Distance Categorised_<= 100m,0.00029111688841141974
Primary Distance Categorised_> 500m,0.0011374290693738508
Secondary Distance Categorised_101m - 200m,0.000982548069255362
Secondary Distance Categorised_201m - 300m,0.0013460033937029961
Secondary Distance Categorised_301 - 400m,0.0010918295260956643
Secondary Distance Categorised_401m - 500m,0.0011657729685448878
Secondary Distance Categorised_<= 100m,0.0001575657964284799
Secondary Distance Categorised_> 500m,0.002960888009667726
Additional Primary Distance Categorised_1.5km - 2km,0.0002879688794970452
Additional Primary Distance Categorised_1km - 1.5km,0.0006751223125824315
Additional Primary Distance Categorised_501m - 1km,0.00137530417273028
Additional Primary Distance Categorised_<= 500m,0.0013554014699236538
Additional Primary Distance Categorised_> 2km,3.3115653556207705e-05
