,Primary School,Primary Distance,Primary Latitude,Primary Longitude
ANG MO KIO AVE 1 BLK 309,TECK GHEE PRIMARY SCHOOL,722.787614,1.365396,103.8505239
ANG MO KIO AVE 1 BLK 216,ANG MO KIO PRIMARY SCHOOL,391.8356781,1.3693469,103.839815
ANG MO KIO AVE 3 BLK 211,ANG MO KIO PRIMARY SCHOOL,198.7509954,1.3693469,103.839815
ANG MO KIO AVE 3 BLK 202,ANG MO KIO PRIMARY SCHOOL,539.5449035,1.3693469,103.839815
ANG MO KIO AVE 3 BLK 235,ANG MO KIO PRIMARY SCHOOL,482.4054216,1.3693469,103.839815
ANG MO KIO AVE 3 BLK 232,ANG MO KIO PRIMARY SCHOOL,311.8981641,1.3693469,103.839815
ANG MO KIO AVE 1 BLK 308,TECK GHEE PRIMARY SCHOOL,698.0547299,1.365396,103.8505239
ANG MO KIO AVE 1 BLK 220,ANG MO KIO PRIMARY SCHOOL,419.0035376,1.3693469,103.839815
ANG MO KIO AVE 1 BLK 219,ANG MO KIO PRIMARY SCHOOL,380.8405101,1.3693469,103.839815
ANG MO KIO AVE 3 BLK 247,ANG MO KIO PRIMARY SCHOOL,647.3543915,1.3693469,103.839815
ANG MO KIO AVE 1 BLK 320,TECK GHEE PRIMARY SCHOOL,237.933724,1.365396,103.8505239
ANG MO KIO AVE 4 BLK 252,CHIJ ST. NICHOLAS GIRLS' SCHOOL,610.0248498,1.3743731,103.8342158
ANG MO KIO AVE 1 BLK 223,ANG MO KIO PRIMARY SCHOOL,411.9792506,1.3693469,103.839815
ANG MO KIO AVE 3 BLK 230,ANG MO KIO PRIMARY SCHOOL,221.2190388,1.3693469,103.839815
ANG MO KIO AVE 3 BLK 329,TECK GHEE PRIMARY SCHOOL,430.1647809,1.365396,103.8505239
ANG MO KIO AVE 3 BLK 313,TECK GHEE PRIMARY SCHOOL,148.8049793,1.365396,103.8505239
ANG MO KIO AVE 4 BLK 117,CHIJ ST. NICHOLAS GIRLS' SCHOOL,194.0940326,1.3743731,103.8342158
ANG MO KIO AVE 4 BLK 110,ANG MO KIO PRIMARY SCHOOL,306.083575,1.3693469,103.839815
ANG MO KIO AVE 3 BLK 343,TECK GHEE PRIMARY SCHOOL,364.8746973,1.365396,103.8505239
ANG MO KIO AVE 3 BLK 345,TECK GHEE PRIMARY SCHOOL,251.3539724,1.365396,103.8505239
ANG MO KIO AVE 3 BLK 346,TECK GHEE PRIMARY SCHOOL,212.5628926,1.365396,103.8505239
ANG MO KIO AVE 3 BLK 121,ANG MO KIO PRIMARY SCHOOL,421.6500886,1.3693469,103.839815
ANG MO KIO AVE 3 BLK 129,ANG MO KIO PRIMARY SCHOOL,264.9661737,1.3693469,103.839815
ANG MO KIO AVE 3 BLK 130,ANG MO KIO PRIMARY SCHOOL,246.7751646,1.3693469,103.839815
ANG MO KIO AVE 3 BLK 128,ANG MO KIO PRIMARY SCHOOL,450.1455211,1.3693469,103.839815
ANG MO KIO AVE 3 BLK 127,ANG MO KIO PRIMARY SCHOOL,484.5730462,1.3693469,103.839815
ANG MO KIO AVE 3 BLK 126,ANG MO KIO PRIMARY SCHOOL,489.7234199,1.3693469,103.839815
ANG MO KIO AVE 10 BLK 403,TOWNSVILLE PRIMARY SCHOOL,169.4442573,1.3600534,103.8537829
ANG MO KIO AVE 10 BLK 404,TOWNSVILLE PRIMARY SCHOOL,209.9715737,1.3600534,103.8537829
ANG MO KIO AVE 10 BLK 405,TOWNSVILLE PRIMARY SCHOOL,184.712652,1.3600534,103.8537829
ANG MO KIO AVE 10 BLK 417,TECK GHEE PRIMARY SCHOOL,519.8224469,1.365396,103.8505239
ANG MO KIO AVE 10 BLK 418,TECK GHEE PRIMARY SCHOOL,389.3678438,1.365396,103.8505239
ANG MO KIO AVE 10 BLK 419,TECK GHEE PRIMARY SCHOOL,407.4361936,1.365396,103.8505239
ANG MO KIO AVE 10 BLK 441,TECK GHEE PRIMARY SCHOOL,404.1656823,1.365396,103.8505239
ANG MO KIO AVE 10 BLK 442,TECK GHEE PRIMARY SCHOOL,519.221504,1.365396,103.8505239
ANG MO KIO AVE 10 BLK 443,TECK GHEE PRIMARY SCHOOL,542.7198827,1.365396,103.8505239
ANG MO KIO AVE 10 BLK 444,TECK GHEE PRIMARY SCHOOL,575.2932982,1.365396,103.8505239
ANG MO KIO AVE 10 BLK 450,DA QIAO PRIMARY SCHOOL,528.2054179,1.371901,103.858833
ANG MO KIO AVE 10 BLK 435,TECK GHEE PRIMARY SCHOOL,483.9287428,1.365396,103.8505239
ANG MO KIO AVE 10 BLK 433,TECK GHEE PRIMARY SCHOOL,526.971226,1.365396,103.8505239
ANG MO KIO AVE 10 BLK 434,TECK GHEE PRIMARY SCHOOL,419.4834005,1.365396,103.8505239
ANG MO KIO AVE 3 BLK 424,TECK GHEE PRIMARY SCHOOL,361.976069,1.365396,103.8505239
ANG MO KIO AVE 3 BLK 425,JING SHAN PRIMARY SCHOOL,369.123134,1.3723262,103.8517128
