,Secondary School,Secondary Distance,Secondary Latitude,Secondary Longitude
ANG MO KIO AVE 1 BLK 309,ANG MO KIO SECONDARY SCHOOL,375.846945,1.367353,103.8426
ANG MO KIO AVE 1 BLK 216,ANG MO KIO SECONDARY SCHOOL,183.0878352,1.367353,103.8426
ANG MO KIO AVE 3 BLK 211,ANG MO KIO SECONDARY SCHOOL,234.6704906,1.367353,103.8426
ANG MO KIO AVE 3 BLK 202,ANG MO KIO SECONDARY SCHOOL,252.8655192,1.367353,103.8426
ANG MO KIO AVE 3 BLK 235,MAYFLOWER SECONDARY SCHOOL,218.2195857,1.3686252,103.8352119
ANG MO KIO AVE 3 BLK 232,MAYFLOWER SECONDARY SCHOOL,231.2003588,1.3686252,103.8352119
ANG MO KIO AVE 1 BLK 308,ANG MO KIO SECONDARY SCHOOL,389.855597,1.367353,103.8426
ANG MO KIO AVE 1 BLK 220,ANG MO KIO SECONDARY SCHOOL,309.070514,1.367353,103.8426
ANG MO KIO AVE 1 BLK 219,ANG MO KIO SECONDARY SCHOOL,277.1199287,1.367353,103.8426
ANG MO KIO AVE 3 BLK 247,MAYFLOWER SECONDARY SCHOOL,137.8511999,1.3686252,103.8352119
ANG MO KIO AVE 1 BLK 320,DEYI SECONDARY SCHOOL,509.6020009,1.3664073,103.8529006
ANG MO KIO AVE 4 BLK 252,MAYFLOWER SECONDARY SCHOOL,109.6569705,1.3686252,103.8352119
ANG MO KIO AVE 1 BLK 223,MAYFLOWER SECONDARY SCHOOL,425.0145487,1.3686252,103.8352119
ANG MO KIO AVE 3 BLK 230,MAYFLOWER SECONDARY SCHOOL,298.2425558,1.3686252,103.8352119
ANG MO KIO AVE 3 BLK 329,ANG MO KIO SECONDARY SCHOOL,479.6745909,1.367353,103.8426
ANG MO KIO AVE 3 BLK 313,DEYI SECONDARY SCHOOL,311.2916227,1.3664073,103.8529006
ANG MO KIO AVE 4 BLK 117,CHIJ ST. NICHOLAS GIRLS' SCHOOL,194.0940326,1.3743731,103.8342158
ANG MO KIO AVE 4 BLK 110,MAYFLOWER SECONDARY SCHOOL,319.371313,1.3686252,103.8352119
ANG MO KIO AVE 3 BLK 343,DEYI SECONDARY SCHOOL,473.4310826,1.3664073,103.8529006
ANG MO KIO AVE 3 BLK 345,DEYI SECONDARY SCHOOL,372.5737152,1.3664073,103.8529006
ANG MO KIO AVE 3 BLK 346,DEYI SECONDARY SCHOOL,361.7902699,1.3664073,103.8529006
ANG MO KIO AVE 3 BLK 121,ANG MO KIO SECONDARY SCHOOL,284.4298602,1.367353,103.8426
ANG MO KIO AVE 3 BLK 129,ANG MO KIO SECONDARY SCHOOL,284.1147295,1.367353,103.8426
ANG MO KIO AVE 3 BLK 130,ANG MO KIO SECONDARY SCHOOL,348.9154065,1.367353,103.8426
ANG MO KIO AVE 3 BLK 128,ANG MO KIO SECONDARY SCHOOL,399.9129275,1.367353,103.8426
