,S1,S2,S3,S4,S5,Distance to S1,Distance to S2,Distance to S3,Distance to S4,Distance to S5,S1 Opening Date,S2 Opening Date,S3 Opening Date,S4 Opening Date,S5 Opening Date
ANG MO KIO AVE 1 BLK 309,Ang Mo Kio MRT station,Bishan MRT station,Marymount MRT station,Yio Chu Kang MRT station,Braddell MRT station,874.3441411,1612.91643,1791.850643,1936.169641,2665.697772,12/20/1988,12/20/1988,2/10/1996,2/10/1996,11/7/1987
ANG MO KIO AVE 1 BLK 216,Ang Mo Kio MRT station,Yio Chu Kang MRT station,Marymount MRT station,Bishan MRT station,Braddell MRT station,1000.104741,1768.82465,1929.18575,1933.815742,2922.681095,12/20/1988,12/20/1988,2/10/1996,2/10/1996,11/7/1987
ANG MO KIO AVE 3 BLK 211,Ang Mo Kio MRT station,Yio Chu Kang MRT station,Bishan MRT station,Marymount MRT station,Braddell MRT station,892.2085926,1439.779424,2222.498226,2262.886366,3245.684902,12/20/1988,12/20/1988,2/10/1996,2/10/1996,11/7/1987
ANG MO KIO AVE 3 BLK 202,Ang Mo Kio MRT station,Yio Chu Kang MRT station,Bishan MRT station,Marymount MRT station,Lorong Chuan MRT station,580.7490425,1475.116236,2025.888122,2246.837101,2946.16402,12/20/1988,12/20/1988,2/10/1996,2/10/1996,11/7/1987
ANG MO KIO AVE 3 BLK 235,Ang Mo Kio MRT station,Yio Chu Kang MRT station,Marymount MRT station,Bishan MRT station,Braddell MRT station,1525.154985,1909.062562,2018.292402,2334.470817,3173.870656,12/20/1988,12/20/1988,2/10/1996,2/10/1996,11/7/1987
ANG MO KIO AVE 3 BLK 232,Ang Mo Kio MRT station,Yio Chu Kang MRT station,Marymount MRT station,Bishan MRT station,Braddell MRT station,1385.413939,1728.247216,2144.337666,2373.081518,3264.97604,12/20/1988,12/20/1988,2/10/1996,2/10/1996,11/7/1987
ANG MO KIO AVE 1 BLK 308,Ang Mo Kio MRT station,Bishan MRT station,Marymount MRT station,Yio Chu Kang MRT station,Braddell MRT station,858.4503284,1600.785398,1797.80576,1937.387723,2660.42385,12/20/1988,12/20/1988,2/10/1996,2/10/1996,11/7/1987
ANG MO KIO AVE 1 BLK 220,Ang Mo Kio MRT station,Marymount MRT station,Yio Chu Kang MRT station,Bishan MRT station,Braddell MRT station,1127.767705,1853.192888,1858.594963,1936.010518,2886.103593,12/20/1988,12/20/1988,2/10/1996,2/10/1996,11/7/1987
ANG MO KIO AVE 1 BLK 219,Ang Mo Kio MRT station,Yio Chu Kang MRT station,Marymount MRT station,Bishan MRT station,Braddell MRT station,1101.72685,1816.72236,1894.541139,1964.815716,2922.896052,12/20/1988,12/20/1988,2/10/1996,2/10/1996,11/7/1987
ANG MO KIO AVE 3 BLK 247,Ang Mo Kio MRT station,Yio Chu Kang MRT station,Marymount MRT station,Bishan MRT station,Braddell MRT station,1729.803748,1942.091629,2178.824723,2573.149863,3372.033571,12/20/1988,12/20/1988,2/10/1996,2/10/1996,11/7/1987
ANG MO KIO AVE 1 BLK 320,Ang Mo Kio MRT station,Bishan MRT station,Yio Chu Kang MRT station,Marymount MRT station,Lorong Chuan MRT station,506.0373612,1625.699913,1835.477949,2112.21848,2416.415621,12/20/1988,12/20/1988,2/10/1996,2/10/1996,11/7/1987
ANG MO KIO AVE 4 BLK 252,Ang Mo Kio MRT station,Yio Chu Kang MRT station,Marymount MRT station,Bishan MRT station,Braddell MRT station,1708.02763,1855.902391,2274.170343,2640.397916,3459.075381,12/20/1988,12/20/1988,2/10/1996,2/10/1996,11/7/1987
ANG MO KIO AVE 1 BLK 223,Ang Mo Kio MRT station,Yio Chu Kang MRT station,Marymount MRT station,Bishan MRT station,Braddell MRT station,1351.974085,1899.414042,1901.178748,2129.850919,3011.530459,12/20/1988,12/20/1988,2/10/1996,2/10/1996,11/7/1987
ANG MO KIO AVE 3 BLK 230,Ang Mo Kio MRT station,Yio Chu Kang MRT station,Marymount MRT station,Bishan MRT station,Braddell MRT station,1306.807872,1630.230872,2211.507373,2391.947657,3311.337341,12/20/1988,12/20/1988,2/10/1996,2/10/1996,11/7/1987
ANG MO KIO AVE 3 BLK 329,Ang Mo Kio MRT station,Yio Chu Kang MRT station,Bishan MRT station,Marymount MRT station,Lorong Chuan MRT station,481.4547138,1693.214302,1765.215261,2138.693291,2621.451695,12/20/1988,12/20/1988,2/10/1996,2/10/1996,11/7/1987
ANG MO KIO AVE 3 BLK 313,Ang Mo Kio MRT station,Bishan MRT station,Yio Chu Kang MRT station,Marymount MRT station,Lorong Chuan MRT station,371.807854,1737.850105,1769.960587,2313.911577,2359.081573,12/20/1988,12/20/1988,2/10/1996,2/10/1996,11/7/1987
ANG MO KIO AVE 4 BLK 117,Yio Chu Kang MRT station,Ang Mo Kio MRT station,Marymount MRT station,Bishan MRT station,Braddell MRT station,1355.810051,1585.962827,2762.715801,2963.402933,3888.233607,12/20/1988,12/20/1988,2/10/1996,2/10/1996,11/7/1987
ANG MO KIO AVE 4 BLK 110,Ang Mo Kio MRT station,Yio Chu Kang MRT station,Marymount MRT station,Bishan MRT station,Braddell MRT station,1362.965326,1501.506402,2403.063823,2581.911343,3508.549748,12/20/1988,12/20/1988,2/10/1996,2/10/1996,11/7/1987
ANG MO KIO AVE 3 BLK 343,Ang Mo Kio MRT station,Yio Chu Kang MRT station,Bishan MRT station,Marymount MRT station,Lorong Chuan MRT station,186.695697,1556.75969,1927.866246,2422.532956,2571.483305,12/20/1988,12/20/1988,2/10/1996,2/10/1996,11/7/1987
ANG MO KIO AVE 3 BLK 345,Ang Mo Kio MRT station,Yio Chu Kang MRT station,Bishan MRT station,Marymount MRT station,Lorong Chuan MRT station,273.6477126,1667.48,1831.91724,2373.177123,2455.746995,12/20/1988,12/20/1988,2/10/1996,2/10/1996,11/7/1987
ANG MO KIO AVE 3 BLK 346,Ang Mo Kio MRT station,Yio Chu Kang MRT station,Bishan MRT station,Marymount MRT station,Lorong Chuan MRT station,315.9030341,1707.355742,1789.556503,2336.014492,2425.909155,12/20/1988,12/20/1988,2/10/1996,2/10/1996,11/7/1987
ANG MO KIO AVE 3 BLK 121,Ang Mo Kio MRT station,Yio Chu Kang MRT station,Bishan MRT station,Marymount MRT station,Lorong Chuan MRT station,667.2845491,1343.798191,2192.35429,2355.073554,3120.536577,12/20/1988,12/20/1988,2/10/1996,2/10/1996,11/7/1987
ANG MO KIO AVE 3 BLK 129,Ang Mo Kio MRT station,Yio Chu Kang MRT station,Bishan MRT station,Marymount MRT station,Lorong Chuan MRT station,827.8478915,1354.291357,2265.251889,2343.282437,3255.582317,12/20/1988,12/20/1988,2/10/1996,2/10/1996,11/7/1987
ANG MO KIO AVE 3 BLK 130,Ang Mo Kio MRT station,Yio Chu Kang MRT station,Bishan MRT station,Marymount MRT station,Lorong Chuan MRT station,869.234769,1308.829865,2333.613605,2394.609674,3322.928022,12/20/1988,12/20/1988,2/10/1996,2/10/1996,11/7/1987
ANG MO KIO AVE 3 BLK 128,Ang Mo Kio MRT station,Yio Chu Kang MRT station,Bishan MRT station,Marymount MRT station,Lorong Chuan MRT station,673.1478172,1222.427465,2308.405371,2474.629357,3201.198039,12/20/1988,12/20/1988,2/10/1996,2/10/1996,11/7/1987
ANG MO KIO AVE 3 BLK 127,Ang Mo Kio MRT station,Yio Chu Kang MRT station,Bishan MRT station,Marymount MRT station,Lorong Chuan MRT station,660.2274658,1179.758143,2341.138188,2518.495344,3213.797492,12/20/1988,12/20/1988,2/10/1996,2/10/1996,11/7/1987
ANG MO KIO AVE 3 BLK 126,Ang Mo Kio MRT station,Yio Chu Kang MRT station,Bishan MRT station,Marymount MRT station,Lorong Chuan MRT station,691.2831734,1133.539639,2393.895134,2562.458727,3261.989606,12/20/1988,12/20/1988,2/10/1996,2/10/1996,11/7/1987
