Stations,Opening Date,Latitude,Longitude
Jurong East MRT station,1990-03-10,1.3331306,103.74209090000001
Bukit Batok MRT station,1990-03-10,1.3485061,103.7492218
Bukit Gombak MRT station,1990-03-10,1.3590368999999998,103.75182779999999
Choa Chu Kang MRT/LRT station,1990-03-10,1.3853846,103.7443373
Yew Tee MRT station,1996-02-10,1.3973289,103.7475018
Kranji MRT station,1996-02-10,1.4252268,103.7620278
Marsiling MRT station,1996-02-10,1.4325578,103.77416070000001
Woodlands MRT station,1996-02-10,1.4369416000000002,103.7863953
Admiralty MRT station,1996-02-10,1.440613,103.8009629
Sembawang MRT station,1996-02-10,1.4490801000000002,103.8200578
Yishun MRT station,1988-12-20,1.4295483999999998,103.83503320000001
Khatib MRT station,1988-12-20,1.4173483,103.83297309999999
Yio Chu Kang MRT station,1987-11-07,1.3817217,103.844934
Ang Mo Kio MRT station,1987-11-07,1.3699718,103.84958759999999
Bishan MRT station,1987-11-07,1.3510417,103.8499304
Braddell MRT station,1987-11-07,1.3405397,103.8470762
Toa Payoh MRT station,1987-11-07,1.3323296999999998,103.8474252
Novena MRT station,1987-12-12,1.3200247999999999,103.8433833
Newton MRT station,1987-12-12,1.3137896999999998,103.8377317
Orchard MRT station,1987-12-12,1.3040083999999998,103.831781
Somerset MRT station,1987-12-12,1.3004441,103.83843890000001
Dhoby Ghaut MRT station,1987-12-12,1.2990936000000002,103.84578859999999
City Hall MRT station,1987-12-12,1.2930760000000001,103.8520677
Raffles Place MRT station,1987-12-12,1.2830173,103.8513365
Marina Bay MRT station,1989-11-04,1.2765211,103.8547012
Marina South Pier MRT station,2014-11-23,1.2714087,103.86363100000001
Pasir Ris MRT station,1989-12-16,1.3731912,103.9493534
Tampines MRT station,1989-12-16,1.3531941,103.9452213
Simei MRT station,1989-12-16,1.34312,103.9534285
Tanah Merah MRT station,1989-11-04,1.3272443999999999,103.9464897
Bedok MRT station,1989-11-04,1.3240113000000002,103.9301725
Kembangan MRT station,1989-11-04,1.3209998,103.91290390000002
Eunos MRT station,1989-11-04,1.3197341999999999,103.90288829999999
Paya Lebar MRT station,1989-11-04,1.3181607,103.8931436
Aljunied MRT station,1989-11-04,1.3163668,103.8827723
Kallang MRT station,1989-11-04,1.3114784,103.8713507
Lavender MRT station,1989-11-04,1.3074261,103.862848
Bugis MRT station,1989-11-04,1.3006287,103.85584659999999
Tanjong Pagar MRT station,1987-12-12,1.2763419,103.84679240000001
Outram Park MRT station,1987-12-12,1.2802438,103.83945909999998
Tiong Bahru MRT station,1988-03-12,1.2865018,103.8269778
Redhill MRT station,1988-03-12,1.2896415,103.81679820000001
Queenstown MRT station,1988-03-12,1.2948351999999999,103.8059016
Commonwealth MRT station,1988-03-12,1.3023957,103.7983157
Buona Vista MRT station,1988-03-12,1.3072937,103.7900463
Dover MRT station,2001-10-18,1.3113761,103.7786986
Clementi MRT station,1988-03-12,1.3151606000000002,103.765206
Chinese Garden MRT station,1988-11-05,1.3424249,103.73259240000002
Lakeside MRT station,1988-11-05,1.344243,103.72077540000001
Boon Lay MRT station,1990-07-06,1.3385559,103.7058277
Pioneer MRT station,2009-02-28,1.337526,103.69744200000001
Joo Koon MRT station,2009-02-28,1.3277513,103.6783178
Gul Circle MRT station,2017-06-18,1.3197555,103.6608303
Tuas Crescent MRT station,2017-06-18,1.3210266000000002,103.6490755
Tuas West Road MRT station,2017-06-18,1.3299891000000001,103.63961409999999
Tuas Link MRT station,2017-06-18,1.3403171,103.6368663
Expo MRT station,2001-01-10,1.3344041000000002,103.96148070000001
Changi Airport MRT station,2002-02-08,1.3576001,103.9884873
HarbourFront MRT station,2003-06-20,1.2656038,103.8208568
Chinatown MRT station,2003-06-20,1.2847875,103.8439312
Clarke Quay MRT station,2003-06-20,1.2881553999999997,103.8467181
Little India MRT station,2003-06-20,1.3066479,103.8494066
Farrer Park MRT station,2003-06-20,1.3126142,103.85486159999999
Boon Keng MRT station,2003-06-20,1.3200375,103.861623
Potong Pasir MRT station,2003-06-20,1.3311575,103.8690734
Woodleigh MRT station,2011-06-20,1.3391274,103.8707373
Serangoon MRT station,2003-06-20,1.3497383,103.8736211
Kovan MRT station,2003-06-20,1.360175,103.8851627
Hougang MRT station,2003-06-20,1.3713312,103.8925439
Buangkok MRT station,2006-01-15,1.3829481000000001,103.89335820000001
Sengkang MRT/LRT station,2003-06-20,1.3916608999999998,103.8954533
Punggol MRT/LRT station,2003-06-20,1.40517,103.9023559
Bras Basah MRT station,2010-04-17,1.2969461000000002,103.85073659999999
Esplanade MRT station,2010-04-17,1.2939413,103.8553744
Promenade MRT station,2010-04-17,1.2939988000000002,103.86017729999999
Nicoll Highway MRT station,2010-04-17,1.3002063,103.86347070000001
Stadium MRT station,2010-04-17,1.3027829,103.8754063
Mountbatten MRT station,2010-04-17,1.3060843999999998,103.8831531
Dakota MRT station,2010-04-17,1.30841,103.888814
MacPherson MRT station,2010-04-17,1.3267049,103.88988979999999
Tai Seng MRT station,2010-04-17,1.3358756,103.88771640000002
Bartley MRT station,2009-05-28,1.3428695,103.87963859999999
Lorong Chuan MRT station,2009-05-28,1.3514978000000002,103.8649467
Marymount MRT station,2009-05-28,1.3490142,103.8390947
Caldecott MRT station,2011-10-08,1.3375953,103.8396058
Botanic Gardens MRT station,2011-10-08,1.3223117,103.8149268
Farrer Road MRT station,2011-10-08,1.3175741,103.807711
Holland Village MRT station,2011-10-08,1.3111457,103.79614079999999
One-north MRT station,2011-10-08,1.2998113000000002,103.7875947
Kent Ridge MRT station,2011-10-08,1.2935861000000002,103.78445129999999
Haw Par Villa MRT station,2011-10-08,1.2831059999999999,103.78197990000001
Pasir Panjang MRT station,2011-10-08,1.2760684,103.7919037
Labrador Park MRT station,2011-10-08,1.2721258999999998,103.80255749999999
Telok Blangah MRT station,2011-10-08,1.2707152,103.809878
Bayfront MRT station,2012-01-14,1.2813386,103.8589551
Bukit Panjang MRT/LRT station,2015-12-27,1.3783155,103.76245899999999
Cashew MRT station,2015-12-27,1.3699756,103.76457940000002
Hillview MRT station,2015-12-27,1.3630377,103.7674128
Beauty World MRT station,2015-12-27,1.3415532,103.77574659999999
King Albert Park MRT station,2015-12-27,1.3356883999999998,103.78319259999999
Sixth Avenue MRT station,2015-12-27,1.3311776000000002,103.7972016
Tan Kah Kee MRT Station,2015-12-27,1.3257996,103.8079556
Stevens MRT station,2015-12-27,1.3199584,103.8259427
Rochor MRT station,2015-12-27,1.3035362,103.85255959999999
Downtown MRT station,2013-12-22,1.2794576000000002,103.85281280000001
Telok Ayer MRT station,2013-12-22,1.2822209999999998,103.8485947
Fort Canning MRT station,2017-10-21,1.2921101000000002,103.844762
Bencoolen MRT station,2017-10-21,1.2984552,103.84997290000001
Jalan Besar MRT station,2017-10-21,1.3055083,103.85543249999999
Bendemeer MRT station,2017-10-21,1.3136206,103.8630656
Geylang Bahru MRT Station,2017-10-21,1.3214143,103.8714786
Mattar MRT station,2017-10-21,1.3272214,103.8828949
Ubi MRT station,2017-10-21,1.3298687,103.900048
