,Latitude,Longitude
ANG MO KIO AVE 1 BLK 309,1.3643288,103.8441101
ANG MO KIO AVE 1 BLK 216,1.3662078,103.8414166
ANG MO KIO AVE 3 BLK 211,1.3692104,103.8415977
ANG MO KIO AVE 3 BLK 202,1.3684602,103.8445869
ANG MO KIO AVE 3 BLK 235,1.3669343,103.8362083
ANG MO KIO AVE 3 BLK 232,1.3682103,103.8372499
ANG MO KIO AVE 1 BLK 308,1.3643085,103.8443393
ANG MO KIO AVE 1 BLK 220,1.3656276,103.8404202
ANG MO KIO AVE 1 BLK 219,1.3659933,103.8405108
ANG MO KIO AVE 3 BLK 247,1.3679764,103.8341552
ANG MO KIO AVE 1 BLK 320,1.3655808,103.8483915
ANG MO KIO AVE 4 BLK 252,1.3688872,103.8342609
ANG MO KIO AVE 1 BLK 223,1.3660809,103.8380651
ANG MO KIO AVE 3 BLK 230,1.3688659,103.837884
ANG MO KIO AVE 3 BLK 329,1.3666154,103.8468515
ANG MO KIO AVE 3 BLK 313,1.3666695,103.8501126
ANG MO KIO AVE 4 BLK 117,1.3736407,103.8358007
ANG MO KIO AVE 4 BLK 110,1.3705542,103.8373405
ANG MO KIO AVE 3 BLK 343,1.3683603,103.8491162
ANG MO KIO AVE 3 BLK 345,1.3675154,103.8497376
ANG MO KIO AVE 3 BLK 346,1.3671343,103.8497283
ANG MO KIO AVE 3 BLK 121,1.3697115,103.8435905
ANG MO KIO AVE 3 BLK 129,1.3698666,103.8421412
ANG MO KIO AVE 3 BLK 130,1.3703816,103.8417789
ANG MO KIO AVE 3 BLK 128,1.3708105,103.8435905
ANG MO KIO AVE 3 BLK 127,1.3711757,103.8437717
ANG MO KIO AVE 3 BLK 126,1.3716164,103.8435905
ANG MO KIO AVE 10 BLK 403,1.3613694,103.8545514
ANG MO KIO AVE 10 BLK 404,1.3617351,103.854642
ANG MO KIO AVE 10 BLK 405,1.3617045,103.8536003
ANG MO KIO AVE 10 BLK 417,1.3650281,103.8551856
ANG MO KIO AVE 10 BLK 418,1.365035,103.8540079
ANG MO KIO AVE 10 BLK 419,1.3654002,103.8541891
ANG MO KIO AVE 10 BLK 441,1.36606,103.8540985
ANG MO KIO AVE 10 BLK 442,1.3656873,103.8551856
ANG MO KIO AVE 10 BLK 443,1.3660482,103.8553623
ANG MO KIO AVE 10 BLK 444,1.3666375,103.8555479
